"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"241660104229941251","","","241166120994877440","150334831","2012-08-31 22:13:53 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @mbtaGM: The #MBTA turns 115 this weekend!  Thanks for riding the T! http://t.co/cdArOAjK","http://bit.ly/PSsBR8"
"241617228955545601","","","240982755469586432","387514741","2012-08-31 19:23:31 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @ScienceEnabled: Bacterial cause found for skin condition rosacea - Scientists are closer to establishing a definitive bacterial caus ..."
"241593302170869760","","","240823577920815104","325719227","2012-08-31 17:48:26 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @WiringTheBrain: Just for fun: blue bananas and pink elephants (an old post on colour agnosia): http://t.co/BSnTzoJ9","http://wiringthebrain.blogspot.ie/2010/05/blue-bananas-and-pink-elephants.html"
"241488917210218497","","","240821783752740865","37011196","2012-08-31 10:53:39 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @ProMED_mail: PRO&gt; Boid inclusion body disease - USA: (CA) arenavirus http://t.co/nGHAmK9O","http://bit.ly/OurMMY"
"241487830432489472","","","240815759708798977","131498466","2012-08-31 10:49:20 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @TeXtip: RT @walkingrandomly: Full LaTeX now available on iPad. Including compilation and .dvi viewer. Finally! http://t.co/ow5KDpLe","http://litchie.com/blog/?p=406"
"241244273813630978","","","240627656067014656","37011196","2012-08-30 18:41:31 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @ProMED_mail: PRO/AH/EDR&gt; Plague - USA (04): (CO) septicemic http://t.co/BueCJhEL","http://bit.ly/PqKBGg"
"241243200419934208","","","240609265780420608","387514741","2012-08-30 18:37:15 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @ScienceEnabled: The Pox in the North American Backyard: Volepox Virus Pathogenesis in California Mice (Peromyscus californicus) http ..."
"240932151233744896","","","239873509176799232","18747424","2012-08-29 22:01:15 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @PaulHsieh: The CAPTCHA we really need: http://t.co/Rjnpx9n7","http://imgur.com/gallery/u10eW"
"240930102639206400","","","239821993426432000","37011196","2012-08-29 21:53:07 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @ProMED_mail: PRO/AH/EDR&gt; Influenza (77): (USA) A(H3N2)v http://t.co/3M0fRgMP","http://bit.ly/PdHAmZ"
"240928430315671552","","","239790196189700097","387514741","2012-08-29 21:46:28 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @ScienceEnabled: Superbug Summer Books: EXPERIMENT ELEVEN - In the history of antibiotics, the creation myth is the discovery of peni ..."
"240926189198389248","","","239396275546624000","17094858","2012-08-29 21:37:34 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @sfmnemonic: REDSHIRTS, by @scalzi, is the best Star Trek novel in the same way that GALAXY QUEST is the best Star Trek movie.  Which ..."
"240887079284912128","","","238992075297800192","314758565","2012-08-29 19:02:09 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @joe_pickrell: ""the distribution of ABO [blood grp] alleles across species reflects an ancestral polymrphsm that originated &gt;= 20  ..."
"240877385967366144","","","239018376436011008","18747424","2012-08-29 18:23:38 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @PaulHsieh: [FIRM blog] Canadian Rationing Strikes Again http://t.co/myjWBNOL","http://bit.ly/SwlVwE"
